Pool,Month,C.anomalum,C.commersoni,C.erythrogaster,E.spectabile,G.affinis,L.cornutus,O.nais,O.neglectes,S.atromaculatus,Tadpoles
11,June,206.2594419,15.83176217,29.68038845,99.17009345,45.96671157,0,50.61087962,40.46875921,176.0552153,36.70562794
3,June,1812.455191,534.8445592,52083.00784,332.8140038,12.28492821,0,217.7981955,0,4638.170042,816.2811034
12,June,123.3543441,0,162.0947545,42.25508786,24.10815598,0,5.555647802,83.40941366,169.8768563,0
5,June,126.4770973,0,1209.766715,14.92649846,0,0,115.4210297,0,142.1178215,0
4,June,222.7376195,53.59608221,3181.513506,192.1430856,0,8.282848561,168.8139156,42.58609478,350.5823379,0
10,June,30.33423993,0,192.5126134,0,0,50.20269263,34.58525291,0,52.26892465,0
8,June,813.6853632,43.6675731,1345.55384,28.37729274,3.562710696,54.29601293,122.4204363,83.67515016,475.5621712,0
9,June,39.45830171,63.55558193,4.39095986,4.955179867,8.026975795,1.233052796,541.3876305,0,0,0
6,June,320.3238296,95.66776865,310.1889493,41.79691937,0,0,422.1565945,202.4739948,229.516099,0
2,June,0,0,26.759705,0,5.788711995,0,48.0259919,0,0,1366.410049
1,June,0,74.66678574,19704.63085,152.194622,32.14732222,0,996.3373137,88.85318958,476.4815973,0
7,June,2030.965262,0,15498.63733,59.8867579,34.81544302,800.174366,236.1463407,0,81.20952067,0
11,July,36.02079731,0,5.657934469,47.01640563,67.8396443,0,258.4325878,41.4495383,148.7015898,68.08770348
3,July,243.3930306,232.7889071,4496.941896,945.5501771,23.589822,41.65747592,333.722148,78.69327021,21.91729751,75.96163626
12,July,483.5599503,0,356.2221965,0,25.77592597,0,55.60516727,91.65154015,89.11571633,0
4,July,64.65435075,0,577.8649628,5.546193276,0,0,59.26860425,0,45.14487641,0
10,July,0,0,0,0,0,5.39,0,0,0,0
8,July,202.5679875,0,0,73.17107749,12.24336451,13.2343557,89.60734621,0,0,0.981021612
9,July,99.97823206,0,4.983011519,56.61226054,77.86039014,0,40.31666656,0.439662252,0,0
6,July,0,0,0,0,0,0,0.36,0,0,0
2,July,0,0,2.500631661,0,2.847197905,0,0,0,0,339.1794068
1,July,0,699.2473866,2751.544455,205.0658732,16.47938725,0,1985.062381,400.1607298,459.9296648,0
7,July,317.1505919,0,1048.89641,86.02892915,46.0654323,50.93154998,250.7875341,13.17677948,88.74972045,0
11,August,9.92289323,0,6.866291529,91.99999495,44.25132862,0,491.4960264,7.216133592,84.21118631,0
3,August,0,133.674372,1932.102974,185.2393185,20.34795362,6.985697875,245.620938,414.6158318,158.8795822,0
12,August,24.34443297,0,206.3192424,0,107.927737,0,66.49001504,73.66409594,0,27.83185618
4,August,58.24566569,0,340.8558843,16.36959282,0,0,14.48695508,0,38.29238797,0
8,August,31.27254488,0,0,14.27188657,20.79652022,0,5.791513738,0.836110471,0,0
9,August,57.05198537,0,0,114.5982834,32.71643655,0,312.6318917,2.660631307,0,0
2,August,0,0,1.172604087,0,13.68280395,0,0,0,0,19.77692417
1,August,0,388.5659793,177.1028009,241.2599241,9.583801776,0,793.7925247,84.10762956,606.9860115,0
7,August,13.45590332,0,101.2335179,16.16146785,118.61391,14.57388691,34.19097864,0,0,0
