Year,year,cfs,cms,
1982,1982,38.736,10.84608,
1982,1983,38.732,10.84496,
1982,1984,52.63,14.7364,
1982,1985,40.035,11.2098,
1982,1986,43.04,12.0512,
1982,1987,29.233,8.18524,
1982,1988,5.268,1.47504,
1982,1989,4.038,1.13064,
1982,1990,14.345,4.0166,
1982,1991,3.335,0.9338,
1982,1992,28.83,8.0724,
1982,1993,102.664,28.74592,
1983,1994,9.12,2.5536,
1983,1995,61.758,17.29224,
1983,1996,11.28,3.1584,
1983,1997,17.869,5.00332,
1983,1998,61.154,17.12312,
1983,1999,43.925,12.299,
1983,2000,5.57,1.5596,
1983,2001,13.702,3.83656,
1983,2002,2.713,0.75964,
1983,2003,8.375,2.345,
1983,2004,22.944,6.42432,
1983,2005,27.776,7.77728,
1984,2006,1.076,0.30128,
1984,2007,34.397,9.63116,
1984,2008,37.431,10.48068,
1984,2009,30.281,8.47868,
1984,2010,25.468,7.13104,
1984,2011,7.564,2.11792,
1984,2012,5.789,1.62092,
1984,2013,1.34,0.3752,
1984,2014,13.476,3.77328,
1984,2015,15.056,4.21568,
1984,2016,32.785,9.1798,
1984,2017,18.13,5.0764,
1985,2018,0,0,
1985,,,,
1985,,,,
1985,,,,
1985,,,,
1985,,,,
1985,,,,
1985,,,,
1985,,,,
1985,,,,
1985,,,,
1985,,,,
1986,,,,
1986,,,,
1986,,,,
1986,,,,
1986,,,,
1986,,,,
1986,,,,
1986,,,,
1986,,,,
1986,,,,
1986,,,,
1986,,,,
1987,,,,
1987,,,,
1987,,,,
1987,,,,
1987,,,,
1987,,,,
1987,,,,
1987,,,,
1987,,,,
1987,,,,
1987,,,,
1987,,,,
1988,,,,
1988,,,,
1988,,,,
1988,,,,
1988,,,,
1988,,,,
1988,,,,
1988,,,,
1988,,,,
1988,,,,
1988,,,,
1988,,,,
1989,,,,
1989,,,,
1989,,,,
1989,,,,
1989,,,,
1989,,,,
1989,,,,
1989,,,,
1989,,,,
1989,,,,
1989,,,,
1989,,,,
1990,,,,
1990,,,,
1990,,,,
1990,,,,
1990,,,,
1990,,,,
1990,,,,
1990,,,,
1990,,,,
1990,,,,
1990,,,,
1990,,,,
1991,,,,
1991,,,,
1991,,,,
1991,,,,
1991,,,,
1991,,,,
1991,,,,
1991,,,,
1991,,,,
1991,,,,
1991,,,,
1991,,,,
1992,,,,
1992,,,,
1992,,,,
1992,,,,
1992,,,,
1992,,,,
1992,,,,
1992,,,,
1992,,,,
1992,,,,
1992,,,,
1992,,,,
1993,,,,
1993,,,,
1993,,,,
1993,,,,
1993,,,,
1993,,,,
1993,,,,
1993,,,,
1993,,,,
1993,,,,
1993,,,,
1993,,,,
1994,,,,
1994,,,,
1994,,,,
1994,,,,
1994,,,,
1994,,,,
1994,,,,
1994,,,,
1994,,,,
1994,,,,
1994,,,,
1994,,,,
1995,,,,
1995,,,,
1995,,,,
1995,,,,
1995,,,,
1995,,,,
1995,,,,
1995,,,,
1995,,,,
1995,,,,
1995,,,,
1995,,,,
1996,,,,
1996,,,,
1996,,,,
1996,,,,
1996,,,,
1996,,,,
1996,,,,
1996,,,,
1996,,,,
1996,,,,
1996,,,,
1996,,,,
1997,,,,
1997,,,,
1997,,,,
1997,,,,
1997,,,,
1997,,,,
1997,,,,
1997,,,,
1997,,,,
1997,,,,
1997,,,,
1997,,,,
1998,,,,
1998,,,,
1998,,,,
1998,,,,
1998,,,,
1998,,,,
1998,,,,
1998,,,,
1998,,,,
1998,,,,
1998,,,,
1998,,,,
1999,,,,
1999,,,,
1999,,,,
1999,,,,
1999,,,,
1999,,,,
1999,,,,
1999,,,,
1999,,,,
1999,,,,
1999,,,,
1999,,,,
2000,,,,
2000,,,,
